	E1	E3	E5	E7	E8	F1	F3	F7	G3	G5	G7	G8	I1	I3	I5	I7	I8	P1	P3	P5	P7	S1	S3	S8
Aqu2.1.17903_001	6	18	12	51	8	29	4	5	15	15	7	1	11	33	41	4	14	12	24	27	6	9	4	4
Aqu2.1.17904_001	0	0	0	7	0	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	5	0	0
Aqu2.1.17905_001	0	1	1	14	0	2	0	1	15	3	1	4	5	30	51	1	2	1	13	3	3	9	2	2
Aqu2.1.17906_001	0	2	0	7	5	3	0	0	0	7	0	3	1	18	6	0	1	1	3	1	3	2	1	0
Aqu2.1.17907_001	1	1	0	7	0	2	0	1	1	2	0	1	1	1	2	1	0	0	1	4	3	1	0	0
Aqu2.1.17908_001	9	9	12	42	2	4	1	3	4	7	14	3	6	45	26	1	12	7	41	25	1	29	2	7
Aqu2.1.17909_001	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	3	1	0	2	7	0	0	0	1
Aqu2.1.17910_001	0	6	3	24	3	4	0	4	30	0	6	17	11	31	163	1	14	11	8	18	2	8	1	7
Aqu2.1.17911_001	0	1	0	5	0	2	2	0	0	6	0	0	0	3	0	0	1	2	1	2	0	0	0	3
Aqu2.1.17912_001	2	5	7	9	4	0	0	0	23	4	1	2	5	26	37	3	4	2	20	17	2	20	2	2
Aqu2.1.17913_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.17914_001	1	2	0	10	0	0	2	0	0	0	0	0	3	1	15	1	1	0	2	2	0	4	0	2
Aqu2.1.17915_001	0	7	1	12	0	1	0	1	2	4	1	1	0	17	5	0	4	0	10	4	0	7	6	2
Aqu2.1.17916_001	0	2	3	8	1	4	1	0	2	11	0	0	0	8	11	0	1	1	4	6	1	2	0	1
Aqu2.1.17917_001	1	0	0	7	0	5	1	0	1	3	2	0	5	5	4	0	2	0	9	4	0	2	1	4
Aqu2.1.17918_001	1	2	2	17	0	4	1	0	11	5	2	2	3	5	38	3	5	0	2	6	2	2	1	2
Aqu2.1.17919_001	2	0	0	2	0	7	4	0	1	1	0	0	0	1	1	0	2	0	0	2	2	2	0	0
Aqu2.1.17920_001	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0
Aqu2.1.17921_001	0	0	0	14	0	0	1	0	9	11	1	0	2	2	43	0	0	3	22	5	4	0	0	2
Aqu2.1.17922_001	0	0	0	2	0	0	0	0	7	0	0	0	0	1	6	0	2	0	4	0	1	0	0	1
Aqu2.1.17923_001	1	0	2	4	0	10	0	0	56	6	5	5	0	30	67	3	3	2	19	27	0	9	0	1
Aqu2.1.17924_001	3	5	1	13	3	6	2	3	3	3	0	2	39	19	29	2	5	6	24	9	1	6	3	3
Aqu2.1.17925_001	0	1	0	3	0	0	0	4	5	2	0	0	1	10	8	2	1	0	2	7	0	0	0	1
Aqu2.1.17926_001	0	0	0	6	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	4	1	0	0
Aqu2.1.17927_001	2	9	2	18	0	2	1	0	2	1	0	1	3	7	13	0	8	2	6	5	0	3	1	2
Aqu2.1.17928_001	2	11	3	6	1	0	1	1	53	0	2	7	3	32	66	6	0	2	15	17	2	5	5	0
Aqu2.1.17929_001	0	10	6	28	1	13	3	6	9	1	3	1	8	17	35	2	5	1	20	24	0	13	1	8
Aqu2.1.17930_001	0	6	0	24	1	2	2	0	0	3	1	0	2	10	19	1	1	1	5	5	13	4	0	3
Aqu2.1.17931_001	0	0	3	26	0	3	0	1	1	0	1	2	0	1	3	0	0	0	1	0	0	4	1	1
Aqu2.1.17932_001	0	0	0	3	0	4	0	1	0	0	0	0	1	3	5	0	1	0	1	3	1	1	0	0
Aqu2.1.17933_001	1	0	0	6	0	8	0	0	0	0	0	0	2	1	1	0	1	1	1	1	7	1	0	1
Aqu2.1.17934_001	4	0	1	12	0	3	0	0	0	0	1	0	0	1	4	2	3	0	5	3	0	9	1	1
Aqu2.1.17935_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.17936_001	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	4	1	0	0	0	1
Aqu2.1.17937_001	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1
Aqu2.1.17938_001	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0
Aqu2.1.17939_001	0	0	0	10	0	2	2	0	0	4	0	1	1	3	4	2	1	0	2	1	3	3	0	2
Aqu2.1.17940_001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	1	0	0
Aqu2.1.17941_001	0	9	1	21	0	3	0	0	1	2	0	1	0	1	9	0	7	0	1	1	0	2	8	3
Aqu2.1.17942_001	0	6	1	11	0	9	2	0	18	1	14	17	6	113	144	0	31	2	46	18	22	18	1	5
Aqu2.1.17943_001	2	1	10	21	2	1	0	0	4	1	2	0	5	4	9	0	1	3	2	2	7	2	0	0
Aqu2.1.17944_001	5	2	2	14	5	10	1	0	0	0	3	0	3	8	8	3	3	2	5	3	0	5	1	2
Aqu2.1.17945_001	6	0	1	10	0	0	0	1	0	0	0	3	0	3	2	0	1	1	0	1	1	0	0	0
Aqu2.1.17946_001	0	0	0	2	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0
Aqu2.1.17947_001	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0
Aqu2.1.17948_001	0	0	0	2	0	1	0	1	0	1	0	0	1	6	3	0	1	1	1	0	0	5	0	3
Aqu2.1.17949_001	0	1	0	4	0	2	0	0	0	0	1	1	1	6	4	0	0	0	8	3	0	0	0	1
Aqu2.1.17950_001	5	11	1	29	0	9	1	0	8	3	3	6	1	32	18	0	12	5	30	9	1	15	5	7
Aqu2.1.17951_001	0	0	3	19	0	0	1	0	0	5	0	2	7	12	6	0	4	1	7	7	0	2	2	0
Aqu2.1.17952_001	0	5	0	21	0	3	0	1	0	4	5	2	0	19	1	0	4	0	18	3	2	1	0	1
Aqu2.1.17953_001	2	23	1	22	1	8	0	3	1	2	4	1	1	14	13	0	10	4	4	3	0	4	4	2
Aqu2.1.17954_001	0	1	3	4	1	3	2	0	22	8	0	6	11	6	31	1	1	0	16	12	1	3	0	0
Aqu2.1.17955_001	1	7	1	19	4	9	4	4	2	1	5	0	1	11	15	0	5	1	12	20	5	7	3	3
Aqu2.1.17956_001	1	0	1	5	0	3	0	0	1	0	3	0	6	9	11	0	1	1	4	2	0	0	0	0
Aqu2.1.17957_001	0	1	10	13	4	3	0	5	3	0	1	0	1	7	11	1	9	0	10	3	1	1	1	6
Aqu2.1.17958_001	0	0	3	4	0	2	0	0	0	0	0	0	0	0	3	0	0	1	1	6	0	1	0	0
Aqu2.1.17959_001	0	1	2	20	0	2	1	2	0	1	0	0	1	51	47	2	8	2	8	14	2	7	2	2
Aqu2.1.17960_001	0	0	1	7	0	1	1	1	0	2	0	0	0	4	0	0	0	0	11	4	0	0	1	0
