	E1	E3	E5	E7	E8	F1	F3	F7	G3	G5	G7	G8	I1	I3	I5	I7	I8	P1	P3	P5	P7	S1	S3	S8
Aqu2.1.00001_001	0	0	0	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Aqu2.1.00002_001	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
Aqu2.1.00003_001	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	6	1	1	0	0
Aqu2.1.00004_001	0	7	7	8	1	5	1	1	1	2	2	0	8	8	10	5	3	11	9	2	2	9	0	5
Aqu2.1.00005_001	0	0	2	6	0	0	1	0	1	3	0	0	1	4	6	0	1	0	5	1	1	0	1	0
Aqu2.1.00006_001	0	2	0	1	0	1	0	0	0	1	0	0	0	9	0	0	1	0	1	0	0	0	0	0
Aqu2.1.00007_001	0	1	0	9	0	0	0	0	0	0	0	4	0	4	1	0	0	0	0	0	1	0	0	0
Aqu2.1.00008_001	0	1	2	4	0	5	0	0	1	0	1	1	0	3	1	0	0	0	4	1	1	1	1	2
Aqu2.1.00009_001	0	7	1	9	1	0	0	0	0	2	0	1	2	0	4	0	1	0	0	2	0	0	0	1
Aqu2.1.00010_001	0	3	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	4	2	1	1
Aqu2.1.00011_001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	11	0	0	0	0
Aqu2.1.00012_001	1	5	2	7	0	1	0	0	0	0	0	1	0	1	3	1	0	0	4	0	1	4	1	5
Aqu2.1.00013_001	1	2	0	4	0	0	0	0	0	1	1	0	0	6	6	0	4	0	9	2	0	1	1	9
Aqu2.1.00014_001	0	0	0	3	0	5	0	0	5	1	0	0	1	3	21	0	0	0	0	2	0	0	0	0
Aqu2.1.00015_001	1	8	1	17	0	12	1	2	142	3	7	7	31	80	299	14	21	3	100	165	4	18	1	2
Aqu2.1.00016_001	0	0	0	6	0	1	0	2	3	0	1	0	0	1	1	1	0	2	6	1	0	4	4	2
Aqu2.1.00017_001	0	0	0	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
Aqu2.1.00018_001	1	1	0	7	0	0	0	0	0	2	0	0	2	1	4	2	0	0	1	14	0	2	2	0
Aqu2.1.00019_001	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	3	0	3
Aqu2.1.00020_001	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	1	1	0	2	0
Aqu2.1.00021_001	1	3	0	7	0	0	2	1	2	1	0	1	3	13	10	0	3	0	15	8	1	0	0	3
Aqu2.1.00022_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Aqu2.1.00023_001	0	0	0	0	1	2	0	1	0	1	0	2	1	1	1	0	0	0	5	1	2	2	0	1
Aqu2.1.00024_001	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0
Aqu2.1.00025_001	0	0	0	9	2	0	0	1	0	1	1	0	0	0	2	0	0	0	2	0	0	2	0	1
Aqu2.1.00026_001	0	1	2	7	0	2	1	0	9	2	0	0	0	8	13	0	1	0	1	1	1	0	0	0
Aqu2.1.00027_001	0	10	0	2	0	0	0	0	1	6	0	0	0	2	5	4	0	0	11	1	0	0	0	1
Aqu2.1.00028_001	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	2
Aqu2.1.00029_001	1	1	1	3	2	6	0	1	62	1	0	8	23	50	58	2	0	0	5	8	9	4	0	2
Aqu2.1.00030_001	15	34	71	63	12	24	11	24	3303	14	22	35	408	217	7742	171	13	222	89	251	23	64	195	32
Aqu2.1.00031_001	0	1	5	12	2	1	0	0	9	0	1	0	1	1	4	8	5	6	14	1	4	16	0	1
Aqu2.1.00032_001	0	1	2	1	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Aqu2.1.00033_001	0	0	0	6	0	0	0	0	1	0	0	0	0	2	1	1	1	0	3	0	0	0	0	0
Aqu2.1.00034_001	0	1	0	1	0	1	0	0	0	2	0	0	1	4	1	0	0	0	18	0	0	0	0	0
Aqu2.1.00035_001	0	4	4	9	1	0	0	0	0	1	0	0	2	2	8	12	1	0	5	1	1	14	1	3
Aqu2.1.00036_001	0	1	1	4	0	2	0	0	2	0	4	0	0	27	6	2	1	1	7	2	1	4	0	1
Aqu2.1.00037_001	1	0	2	5	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	1	0	1	0	0
Aqu2.1.00038_001	0	1	0	6	0	1	0	0	1	0	0	0	1	10	2	0	0	0	0	4	1	3	0	0
Aqu2.1.00039_001	0	0	0	10	0	1	0	0	31	3	0	0	5	2	21	0	0	0	7	7	0	2	0	1
Aqu2.1.00040_001	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
Aqu2.1.00041_001	0	8	6	7	1	2	0	0	2	2	1	1	1	4	3	0	1	0	2	0	0	2	2	0
Aqu2.1.00042_001	0	1	0	2	0	1	0	0	0	0	0	7	1	4	2	0	2	0	3	4	0	7	0	1
Aqu2.1.00043_001	1	3	0	10	0	0	3	0	1	0	0	4	0	1	5	0	5	1	4	0	0	2	1	2
Aqu2.1.00044_001	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Aqu2.1.00045_001	0	0	0	1	0	0	0	0	6	0	0	1	0	10	4	0	0	0	3	2	0	2	0	0
Aqu2.1.00046_001	0	0	1	15	0	0	0	0	5	0	0	0	0	0	3	0	1	0	6	1	0	0	0	0
Aqu2.1.00047_001	0	1	0	14	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	1	0	6	1	8
Aqu2.1.00048_001	0	2	1	21	4	12	0	3	2	0	5	2	5	15	8	0	0	1	5	0	2	3	0	2
Aqu2.1.00049_001	100	80	105	139	66	103	71	45	156	236	96	85	113	266	267	1019	74	882	477	268	307	659	307	129
Aqu2.1.00050_001	0	1	2	1	0	3	0	1	0	4	0	0	0	2	5	1	0	16	4	3	1	2	2	3
Aqu2.1.00051_001	4	1	0	13	0	4	0	0	0	0	3	2	5	6	4	0	1	0	4	10	0	3	1	3
Aqu2.1.00052_001	0	2	0	1	0	0	1	0	1	1	0	0	0	8	1	1	0	0	13	1	0	7	0	0
Aqu2.1.00053_001	0	5	2	4	2	0	0	0	5	0	1	0	4	4	6	1	3	0	2	4	1	3	0	0
Aqu2.1.00054_001	0	0	0	3	0	0	1	2	2	0	0	0	1	2	6	0	2	0	8	4	0	1	1	0
Aqu2.1.00055_001	0	1	0	10	1	4	0	0	8	0	0	0	0	4	32	0	1	1	4	1	0	2	0	1
Aqu2.1.00056_001	0	0	1	5	0	3	0	0	0	1	0	0	4	0	1	0	1	0	10	0	0	0	0	0
Aqu2.1.00057_001	0	0	1	5	0	2	2	0	0	0	0	1	1	0	2	0	9	0	2	23	0	2	0	0
Aqu2.1.00058_001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0
Aqu2.1.00059_001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	4	0	1
Aqu2.1.00060_001	0	1	3	13	0	0	0	1	1	8	1	0	0	0	3	0	1	1	2	1	1	1	1	1
Aqu2.1.00061_001	0	0	1	1	0	0	1	0	0	0	2	0	0	0	2	0	0	1	1	0	1	1	1	0
Aqu2.1.00062_001	0	3	0	2	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	1	0	0
Aqu2.1.00063_001	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2
Aqu2.1.00064_001	4	1	11	12	1	5	0	1	267	1	0	2	75	7	705	4	1	29	41	57	3	2	13	6
Aqu2.1.00065_001	0	1	3	3	0	0	0	1	1	0	0	0	0	2	8	0	1	1	0	0	1	5	0	0
Aqu2.1.00066_001	0	1	0	2	0	1	0	0	2	0	0	0	1	4	1	0	0	0	6	0	0	1	1	0
Aqu2.1.00067_001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	3	0	0	0	0
Aqu2.1.00068_001	0	4	0	17	1	5	1	1	0	1	1	0	0	5	1	0	2	0	3	2	2	3	2	0
Aqu2.1.00069_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00070_001	0	7	1	1	0	1	0	0	0	1	0	4	0	1	4	0	2	0	6	13	0	0	1	0
Aqu2.1.00071_001	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	3	1	0
Aqu2.1.00072_001	0	1	0	1	2	1	0	0	0	1	2	0	0	0	1	0	1	0	1	0	1	0	2	2
Aqu2.1.00073_001	4	4	4	16	2	8	1	0	9	1	1	1	0	9	21	1	2	0	16	4	0	9	1	0
Aqu2.1.00074_001	0	0	1	3	0	0	0	0	1	1	0	0	1	7	3	0	0	0	2	0	1	1	0	0
Aqu2.1.00075_001	0	32	5	62	1	10	4	0	13	12	11	5	4	30	24	2	26	1	18	5	19	28	3	3
Aqu2.1.00076_001	0	0	0	9	0	0	0	0	1	0	1	1	0	2	4	0	2	2	0	0	0	3	1	3
Aqu2.1.00077_001	0	0	1	3	1	0	0	0	0	0	1	0	7	3	1	1	1	0	1	4	0	0	0	0
Aqu2.1.00078_001	1	2	1	8	0	0	1	0	2	8	0	0	0	2	5	1	4	0	5	0	2	0	1	0
Aqu2.1.00079_001	5	0	0	1	0	2	0	0	0	7	0	0	0	0	5	0	1	0	0	3	1	0	0	0
Aqu2.1.00080_001	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aqu2.1.00081_001	0	3	0	18	0	13	1	0	1	0	0	0	0	16	1	3	0	0	14	5	0	2	10	0
Aqu2.1.00082_001	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00083_001	1	6	0	0	0	1	0	0	3	0	0	0	0	6	1	0	1	0	2	3	0	0	0	0
Aqu2.1.00084_001	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Aqu2.1.00085_001	4	2	1	6	1	7	0	0	0	1	0	4	0	5	8	3	4	7	23	2	3	5	0	6
Aqu2.1.00086_001	0	0	0	3	0	0	1	0	0	2	1	0	0	2	9	0	0	0	9	1	1	0	0	1
Aqu2.1.00087_001	1	4	0	69	0	6	0	4	4	1	1	3	0	19	8	2	13	3	10	6	5	18	0	2
Aqu2.1.00088_001	0	0	0	3	0	0	0	0	0	0	0	0	8	8	9	1	0	0	0	2	1	1	0	0
Aqu2.1.00089_001	0	0	0	0	0	3	0	0	1	1	0	0	0	1	3	0	0	0	18	6	0	0	0	1
Aqu2.1.00090_001	0	0	0	1	0	1	0	0	2	0	0	1	2	4	1	0	1	0	0	1	0	1	0	1
Aqu2.1.00091_001	0	1	1	9	0	1	1	0	0	0	3	0	1	3	3	0	0	0	0	1	0	0	0	0
Aqu2.1.00092_001	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0
Aqu2.1.00093_001	2	0	0	1	1	0	0	0	1	3	0	0	0	8	0	2	2	0	1	0	0	1	2	0
Aqu2.1.00094_001	1	3	7	6	0	3	3	0	3	0	0	0	1	8	7	1	1	1	8	1	1	3	2	0
Aqu2.1.00095_001	0	0	1	1	0	0	0	0	10	0	8	1	1	3	5	4	1	0	1	2	0	0	0	2
Aqu2.1.00096_001	0	0	0	4	0	6	1	0	14	0	2	0	4	20	31	0	5	0	9	0	2	4	0	0
Aqu2.1.00097_001	0	4	0	1	0	0	0	0	0	2	0	0	2	0	13	0	0	0	7	2	5	0	1	0
Aqu2.1.00098_001	0	1	0	10	1	2	0	0	2	5	0	2	0	34	14	3	0	5	52	38	24	4	1	1
Aqu2.1.00099_001	0	0	0	8	0	2	0	0	2	4	0	0	2	13	19	0	2	0	1	0	3	0	0	0
Aqu2.1.00100_001	0	4	0	4	1	0	0	0	0	1	0	10	6	2	23	1	4	0	12	0	0	1	0	0
Aqu2.1.00101_001	0	1	1	2	0	2	1	0	1	0	0	2	0	1	4	0	0	1	2	4	1	2	0	1
Aqu2.1.00102_001	0	0	0	6	0	1	0	1	22	0	0	1	10	24	13	1	0	1	12	6	0	1	7	0
Aqu2.1.00103_001	0	2	0	2	0	0	3	1	4	0	3	0	0	0	19	0	1	0	7	0	0	2	0	7
Aqu2.1.00104_001	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	20	0	0	0	0	0
Aqu2.1.00105_001	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00106_001	0	1	0	3	0	0	0	0	5	0	0	0	0	2	2	0	0	1	1	3	0	2	0	0
Aqu2.1.00107_001	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0
Aqu2.1.00108_001	3	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	8	3	0	0	11	1
Aqu2.1.00109_001	0	2	1	7	0	0	0	0	0	0	0	0	0	5	1	0	0	8	1	3	0	2	8	1
Aqu2.1.00110_001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	4	1	0	1	0	0
Aqu2.1.00111_001	2	0	0	3	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0
Aqu2.1.00112_001	1	5	2	6	0	0	0	0	0	0	0	0	0	8	7	0	0	0	3	1	0	2	0	1
Aqu2.1.00113_001	0	5	0	18	0	9	0	4	1	0	0	0	0	4	1	0	2	0	12	2	1	5	2	0
Aqu2.1.00114_001	0	0	0	0	0	0	0	0	0	1	0	0	0	4	3	0	1	0	0	0	0	0	0	0
Aqu2.1.00115_001	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	4	0	0	0	0	0
Aqu2.1.00116_001	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	1	0	3	0	0	0	0	0
Aqu2.1.00117_001	0	0	0	7	0	14	0	0	2	0	3	0	2	10	10	0	4	0	3	3	3	1	2	2
Aqu2.1.00118_001	0	0	0	0	0	0	0	0	1	2	3	2	0	1	5	0	0	1	23	8	2	0	0	0
Aqu2.1.00119_001	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1
Aqu2.1.00120_001	1	0	0	5	0	0	0	0	0	0	1	0	0	0	2	0	0	0	5	1	0	0	0	0
Aqu2.1.00121_001	1	0	2	6	0	0	1	0	1	0	3	4	0	4	2	0	0	0	7	1	8	0	0	0
Aqu2.1.00122_001	0	0	2	8	0	2	0	0	1	0	0	0	1	5	2	1	1	2	1	3	0	11	0	0
Aqu2.1.00123_001	0	2	0	1	2	0	0	0	0	0	0	0	1	1	1	0	1	0	3	0	0	0	0	0
Aqu2.1.00124_001	0	0	0	0	0	1	6	3	0	0	2	1	0	0	8	0	0	0	1	0	0	1	0	0
Aqu2.1.00125_001	0	0	0	8	0	3	0	0	0	0	0	0	0	6	0	0	0	0	1	10	0	0	1	0
Aqu2.1.00126_001	0	2	1	4	0	0	0	0	2	1	3	0	1	1	3	0	1	0	1	0	0	0	0	0
Aqu2.1.00127_001	0	5	1	9	0	5	0	2	7	0	1	1	3	13	85	3	0	1	16	6	1	5	0	2
Aqu2.1.00128_001	0	2	0	7	0	1	0	0	0	0	0	0	0	0	1	3	0	0	10	4	0	0	0	0
Aqu2.1.00129_001	0	2	2	3	0	1	0	0	0	4	1	1	8	1	0	1	1	1	9	2	4	1	1	2
Aqu2.1.00130_001	0	2	0	6	0	2	0	0	5	0	1	1	0	9	3	0	9	0	3	3	1	7	0	2
Aqu2.1.00131_001	1	1	0	9	1	9	0	3	0	1	3	0	0	4	28	0	1	0	8	2	0	2	0	0
Aqu2.1.00132_001	1	2	3	0	0	1	0	0	25	1	1	0	8	22	30	1	1	0	0	0	1	1	1	0
Aqu2.1.00133_001	0	0	0	3	1	1	0	0	1	0	0	0	0	0	3	0	0	2	3	2	1	0	0	0
Aqu2.1.00134_001	0	0	0	2	0	3	0	0	4	4	0	0	0	3	21	0	1	2	4	0	6	1	0	0
Aqu2.1.00135_001	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Aqu2.1.00136_001	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00137_001	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2
Aqu2.1.00138_001	0	0	4	1	0	6	0	0	1	0	0	0	1	3	8	2	1	0	3	1	0	5	0	0
Aqu2.1.00139_001	0	1	0	0	0	0	1	0	0	0	0	0	7	1	2	0	0	0	0	0	3	1	0	0
Aqu2.1.00140_001	0	0	1	9	1	1	0	0	1	2	1	0	2	1	11	0	3	0	4	5	0	2	1	2
Aqu2.1.00141_001	4	1	2	4	0	2	0	4	131	4	1	12	11	25	212	3	3	0	39	51	0	1	1	1
Aqu2.1.00142_001	0	2	1	9	0	1	0	0	0	0	0	0	0	8	1	0	2	0	2	5	1	0	1	1
Aqu2.1.00143_001	0	0	1	3	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	1	0	0
Aqu2.1.00144_001	1	0	0	6	0	0	4	0	1	0	1	0	0	6	15	2	2	1	3	1	0	2	1	1
Aqu2.1.00145_001	0	1	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	6	0	0	0	3	0
Aqu2.1.00146_001	0	1	0	1	0	3	1	0	1	1	1	0	0	7	1	0	0	0	0	1	0	0	0	0
Aqu2.1.00147_001	1	4	4	28	1	5	3	0	0	0	0	2	3	6	1	0	7	0	0	1	1	16	6	0
Aqu2.1.00148_001	2	5	7	15	1	5	1	0	2	4	1	11	5	19	23	1	4	1	20	20	8	1	8	0
Aqu2.1.00149_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Aqu2.1.00150_001	0	0	0	0	1	11	0	0	69	0	5	3	46	35	205	3	7	1	21	55	0	1	1	0
Aqu2.1.00151_001	0	0	0	6	0	0	0	0	7	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0
Aqu2.1.00152_001	1	0	0	5	0	1	0	1	1	0	1	0	0	2	10	0	0	0	1	1	0	0	0	1
Aqu2.1.00153_001	0	0	0	5	0	1	0	0	2	0	1	0	1	2	10	0	1	0	0	2	0	0	0	0
Aqu2.1.00154_001	1	0	0	3	0	1	0	0	0	0	0	0	1	5	8	0	1	0	1	1	0	0	1	1
Aqu2.1.00155_001	0	0	1	2	0	0	0	0	0	2	0	0	1	2	1	0	3	0	9	1	0	0	0	0
Aqu2.1.00156_001	5	1	0	4	0	0	0	0	3	0	0	1	0	6	3	0	0	0	3	3	2	1	0	4
Aqu2.1.00157_001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0
Aqu2.1.00158_001	0	0	0	1	0	0	0	0	1	1	0	0	0	1	9	0	0	0	0	1	0	0	0	0
Aqu2.1.00159_001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Aqu2.1.00160_001	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	2	0	0	0	0
Aqu2.1.00161_001	0	0	0	9	0	0	0	0	0	1	0	0	0	3	3	0	0	1	9	0	0	2	2	0
Aqu2.1.00162_001	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
Aqu2.1.00163_001	0	4	0	11	0	0	0	0	3	1	2	0	2	3	20	0	0	0	2	1	2	0	1	0
Aqu2.1.00164_001	0	1	0	2	0	0	0	0	0	4	0	0	0	1	1	0	0	0	1	3	0	1	0	0
Aqu2.1.00165_001	2	1	5	6	0	1	0	1	2	0	1	2	1	7	4	0	1	0	1	2	1	5	0	0
Aqu2.1.00166_001	0	1	0	3	0	0	0	0	44	0	0	2	0	3	10	1	3	0	5	3	0	0	0	1
Aqu2.1.00167_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00168_001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	2	0	0	0
Aqu2.1.00169_001	1	2	1	4	0	0	0	1	0	0	2	3	0	0	1	0	1	3	0	0	0	0	1	0
Aqu2.1.00170_001	0	0	0	1	0	0	0	0	0	1	0	0	0	2	6	0	0	1	2	1	0	2	0	0
Aqu2.1.00171_001	0	0	0	3	0	0	0	0	1	5	0	0	0	7	4	0	1	0	0	0	4	1	0	3
Aqu2.1.00172_001	1	3	4	5	0	0	1	1	3	0	0	2	2	23	20	0	2	3	0	1	1	3	1	2
Aqu2.1.00173_001	0	1	0	4	0	3	0	1	0	0	4	0	9	7	4	0	0	0	0	0	0	2	1	0
Aqu2.1.00174_001	1	0	0	5	1	0	0	0	0	0	2	2	8	2	1	0	0	0	2	4	0	0	1	0
Aqu2.1.00175_001	0	2	1	8	0	1	0	0	4	2	0	0	0	2	5	0	0	0	0	3	0	1	0	0
Aqu2.1.00176_001	1	3	1	10	2	3	1	0	2	3	1	1	11	10	12	0	2	0	6	3	0	6	3	1
Aqu2.1.00177_001	1	2	0	0	0	3	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0
Aqu2.1.00178_001	0	1	0	3	0	1	1	0	6	0	7	1	0	5	61	1	0	0	4	0	1	2	0	0
Aqu2.1.00179_001	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
Aqu2.1.00180_001	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00181_001	3	4	4	8	1	0	1	0	0	3	0	0	0	4	0	1	2	15	18	4	0	12	10	3
Aqu2.1.00182_001	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	2	0	0	0	0
Aqu2.1.00183_001	0	0	0	3	0	1	0	0	5	0	5	0	1	9	9	0	0	0	0	2	1	2	0	0
Aqu2.1.00184_001	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	4	4	0	0	0	0
Aqu2.1.00185_001	0	0	0	10	0	1	0	1	0	0	0	0	1	1	2	0	1	2	3	2	0	6	0	0
Aqu2.1.00186_001	0	1	0	3	0	2	0	0	2	5	0	1	0	0	5	0	2	0	6	5	0	0	0	0
Aqu2.1.00187_001	0	2	0	13	0	0	0	0	0	7	0	0	0	2	1	0	5	1	8	0	2	3	0	0
Aqu2.1.00188_001	0	1	0	5	0	0	0	0	0	3	1	0	0	0	3	0	0	0	2	3	0	0	0	0
Aqu2.1.00189_001	0	3	0	5	0	0	0	0	0	7	0	0	0	8	5	0	2	0	8	1	0	2	1	1
Aqu2.1.00190_001	0	3	0	3	0	0	0	1	24	2	0	1	1	2	15	0	2	5	4	5	1	19	0	0
Aqu2.1.00191_001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00192_001	0	4	0	14	0	0	0	0	0	0	1	1	30	7	31	1	1	0	6	3	0	4	1	2
Aqu2.1.00193_001	0	1	0	21	0	0	1	1	1	1	2	2	10	7	6	0	2	2	0	4	0	2	0	3
Aqu2.1.00194_001	0	0	1	5	0	0	0	0	8	1	0	0	0	6	46	0	1	0	0	2	0	0	0	0
Aqu2.1.00195_001	1	0	0	1	0	4	0	0	0	0	2	0	0	4	5	0	0	0	4	1	0	0	0	6
Aqu2.1.00196_001	0	2	0	27	0	3	0	0	0	0	0	0	0	3	1	0	2	0	4	0	0	0	0	0
Aqu2.1.00197_001	0	5	0	2	0	0	0	0	0	4	2	0	1	5	8	0	1	0	1	12	0	0	0	1
Aqu2.1.00198_001	1	8	0	8	0	1	1	0	58	0	0	25	5	59	72	4	0	1	1	1	1	2	3	1
Aqu2.1.00199_001	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0
Aqu2.1.00200_001	0	0	0	6	0	3	1	1	0	2	0	0	0	10	1	2	3	0	11	0	1	2	0	0
Aqu2.1.00201_001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Aqu2.1.00202_001	0	8	0	20	1	10	0	0	28	4	0	6	0	5	47	0	7	0	1	2	4	10	1	1
Aqu2.1.00203_001	0	1	0	6	0	2	0	0	8	0	1	0	0	16	5	0	1	0	0	5	3	2	6	9
Aqu2.1.00204_001	0	0	0	8	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
Aqu2.1.00205_001	0	0	0	3	0	2	0	1	5	1	3	0	0	6	3	0	2	0	1	4	0	0	1	0
Aqu2.1.00206_001	1	1	0	7	0	3	0	0	2	1	0	0	3	4	49	0	0	0	24	3	0	17	0	0
Aqu2.1.00207_001	0	6	1	19	5	7	0	0	18	3	4	5	22	23	93	3	1	1	7	2	0	12	0	0
Aqu2.1.00208_001	0	0	0	1	0	2	0	0	0	9	0	9	2	4	4	0	2	2	4	1	0	5	2	0
Aqu2.1.00209_001	0	1	0	3	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00210_001	0	0	1	1	0	0	1	0	10	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
Aqu2.1.00211_001	1	7	2	15	1	3	0	0	1	0	0	2	1	5	4	1	10	0	5	8	0	5	3	0
Aqu2.1.00212_001	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0
Aqu2.1.00213_001	1	0	1	1	0	2	0	0	1	1	0	0	1	0	3	2	0	1	9	0	1	0	0	0
Aqu2.1.00214_001	0	1	2	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0
Aqu2.1.00215_001	0	0	0	2	0	0	0	0	0	2	0	0	0	1	6	0	0	0	0	1	0	0	0	0
Aqu2.1.00216_001	0	1	0	0	0	0	0	0	1	3	0	0	0	4	1	0	0	0	1	3	0	1	0	0
Aqu2.1.00217_001	0	2	1	0	3	0	0	1	2	0	0	2	0	4	17	1	0	0	0	0	0	1	1	0
Aqu2.1.00218_001	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	8	0	0	0	0
Aqu2.1.00219_001	0	1	1	2	0	0	0	0	0	0	4	0	0	1	9	0	0	3	0	0	0	0	0	1
Aqu2.1.00220_001	1	1	0	1	0	0	0	0	0	1	4	0	0	0	2	0	0	0	1	0	0	2	0	0
Aqu2.1.00221_001	0	1	0	18	0	0	5	0	0	2	0	1	0	26	4	3	0	0	1	3	1	0	1	1
Aqu2.1.00222_001	0	3	1	2	0	0	0	7	1	5	0	0	1	4	8	0	0	0	0	2	0	0	0	1
Aqu2.1.00223_001	0	0	0	2	0	0	0	1	0	0	1	7	0	6	1	0	0	0	0	0	0	0	0	0
Aqu2.1.00224_001	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	2	0	0	0	0	0
Aqu2.1.00225_001	0	0	0	2	0	0	0	1	0	2	0	3	0	1	1	0	1	0	4	1	0	0	0	0
Aqu2.1.00226_001	1	0	0	2	0	0	0	0	7	0	2	0	2	0	3	0	2	0	2	0	1	0	0	0
Aqu2.1.00227_001	0	3	0	9	0	3	1	0	0	0	0	1	0	0	4	1	1	0	1	2	7	6	2	1
Aqu2.1.00228_001	0	2	1	3	0	2	0	0	0	0	1	4	1	1	4	1	0	0	1	0	0	1	1	0
